,ticket_id,fault_time,ticket_fm_nonfm,ticket_rca_result_dtl_code,root_cause_code,ticket_rca_type,ticket_type,root_cause_domain,root_cause_type,root_cause_instlocationa,root_cause_checka,root_cause_officea,root_cause_portz,root_cause_checkz,transcircuitseq,root_cause_equip_typez,root_cause_instlocationz,root_cause_sysnamez,root_cause_equip_typea,root_cause_sysnamea,root_cause_porta,root_cause_officez,ntt_label
12537,8628393,2021-06-12 14:10,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLYCB6450    ,True,R00436,0,False,0,0,0,0,PTN5CALU,SLKCB10목동-PTS-PTN-MOKDONG-01,0,0,TT
12538,8628394,2021-06-12 14:10,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLGLP1749    ,True,R00442,0,False,0,0,0,0,PTN5CALU,SL서울남부구치소-PTS-GWACHEON-A5003,0,0,TT
12539,8628413,2021-06-12 14:10,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLYDB9C91    ,True,R00431,0,False,0,0,0,0,PTN5CALU,SL서울남부광역등기소1영등포-PTS-SG-NGY-DG-2365,0,0,TT
12540,8628415,2021-06-12 14:11,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLYDB1074    ,True,R00431,0,False,0,0,0,0,PTN5CALU,SL구로세무서1영등포-PTS-SU-GR-0071,0,0,TT
12541,8628416,2021-06-12 14:11,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLGS01971    ,True,R00458,0,False,0,0,0,0,PTN5CALU,KTCS빌딩_지상4층_전산실-PTS-GWACHEON-B5514,0,0,TT
12542,8628417,2021-06-12 14:11,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLGSB0108    ,True,R00436,0,False,0,0,0,0,PTN5CALU,SL검역소1u-PTS-SUJB-2-0010,0,0,TT
12543,8628428,2021-06-12 14:10,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLGSB0108    ,True,R00436,0,False,0,0,0,0,PTN5CALU,SL검역소1u-PTS-SUJB-3-COT,0,0,TT
12544,8628434,2021-06-12 14:11,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLGSB3235    ,True,R00456,0,False,0,0,0,0,PTN5CALU,SL법무1공항-PTS-GWACHEON-B5007,0,0,TT
12545,8628444,2021-06-12 14:12,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLGSB5899    ,True,R00458,0,False,0,0,0,0,PTN5CALU,SL한국환경공단지상_8통신실-PTS-SD-SEOBU,0,0,TT
12546,8628460,2021-06-12 14:12,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLGSB3235    ,True,R00456,0,False,0,0,0,0,PTN5CALU,SL법무1공항-PTS-SEOUL-B5008,0,0,TT
12547,8628461,2021-06-12 14:12,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLYCB2655    ,True,R00436,0,False,0,0,0,0,PTN5CALU,SL양천구선관위-PTS-SU-YANGCHEON,0,0,TT
12548,8628470,2021-06-12 14:13,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLYDB0916    ,True,R00431,0,False,0,0,0,0,PTN5CALU,SL영등포세무서1영등포-PTS-SU-YDP-0065,0,0,TT
12549,8628478,2021-06-12 14:13,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLGS01220    ,True,R00456,0,False,0,0,0,0,PTN5CALU,마곡동강서세무서_지상5층_통신실-PTS-SU-GS-0069,0,0,TT
12550,8628490,2021-06-12 14:13,0,고객 장비 전원 입력 장애,0,0,RT,PTN_TO_NK,PowerFail,SLYDB0916    ,True,R00431,0,False,0,0,0,0,PTN5CALU,SL영등포세무서1영등포-PTS-SU-YDP-0065,0,0,TT
