제목,URL,다시 읽기,메모,분류
What's coming in Apache Airflow 2.0,https://www.youtube.com/watch?v=p6d3tr02exQ&feature=youtu.be,No,,"Data Engineering, MLOps"
팀장인듯 팀장아닌 팀장같은 너 브런치북,https://brunch.co.kr/brunchbook/bethezzang,No,,Leadership
Keep Your Dockerfile Clean,https://medium.com/better-programming/keep-your-dockerfile-clean-5e4df1c7d909,No,,"Development, Docker"
manifold,https://github.com/uber/manifold,No,,"Data Visualization, MLOps"
Feature Stores: Components of a Data Science Factory,https://towardsdatascience.com/feature-stores-components-of-a-data-science-factory-f0f1f73d39b8,No,,MLOps
Feast - Feature Store for Machine Learning,https://github.com/gojek/feast,No,,MLOps
autogluon,https://autogluon.mxnet.io/,No,,"AutoML, MLOps"
Fall 2019 Urban Transport & Logistics Systems Project Exhibit,https://www.linkedin.com/pulse/fall-2019-urban-transport-logistics-systems-project-exhibit-chow/,No,,Transportation
"Airflow about subDAGs, branching and xcom","https://github.com/geosolutions-it/evo-odas/wiki/Airflow---about-subDAGs,-branching-and-xcom",No,,"Data Engineering, MLOps"
wandb,https://docs.wandb.com/,No,,MLOps
"A/B 테스트를 적용하기 어려울 때, 이벤트 효과 추정하기",https://www.slideshare.net/lumiamitie/ab-20200118-224983073,No,,Data Analysis
딥 러닝을 이용한 자연어 처리 입문,https://wikidocs.net/book/2155,No,,NLP
수아랩 anomaly detection,http://research.sualab.com/introduction/review/2020/01/30/anomaly-detection-overview-1.html,No,,Anomaly Detection
Data-Pipelines-with-Apache-Airflow,https://github.com/shravan-kuchkula/Data-Pipelines-with-Apache-Airflow,No,,"Data Engineering, MLOps"
핑퐁팀의 Python 문화 구축기,https://blog.pingpong.us/python-in-pingpong/,No,,Python
Building AI Solutions with Google OR-Tools,https://www.youtube.com/watch?v=zZAobExOMB0,No,,Optimization
Operation Research with Python,https://github.com/TeamLab/Gachon_CS50_OR_KMOOC,No,,Operation Research
조직의 리더가 참고하면 좋은 책 추천(11권),https://outstanding.kr/leaderbook20180913/,No,,Leadership
TFX Airflow Tutorial,https://www.tensorflow.org/tfx/tutorials/tfx/airflow_workshop,No,,MLOps
Awesome Software Engineering for Machine Learning,https://github.com/SE-ML/awesome-seml,No,,MLOps
"Scalable Deep Learning on Distributed Infrastructures: Challenges, Techniques and Tools",https://arxiv.org/pdf/1903.11314.pdf,No,,MLOps
패스트캠퍼스 시계열 강의 자료,https://github.com/cheonbi/TimeSeriesAnalysis,No,,Time Series
Cloud Dataflow 파이프라인의 예측 머신러닝 모델 비교,https://cloud.google.com/solutions/comparing-ml-model-predictions-using-cloud-dataflow-pipelines?hl=ko,No,,MLOps
"TFX, Kubeflow 파이프 라인 및 클라우드 빌드를 사용하는 MLOps 아키텍처",https://cloud.google.com/solutions/machine-learning/architecture-for-mlops-using-tfx-kubeflow-pipelines-and-cloud-build,No,,MLOps
Kubeflow – TensorFlow 학습하기,https://www.kangwoo.kr/2020/03/12/kubeflow-tensorflow-%ED%95%99%EC%8A%B5%ED%95%98%EA%B8%B0/,No,,MLOps
Ask Me Anything session with a Kaggle Grandmaster Vladimir I. Iglovikov,https://towardsdatascience.com/ask-me-anything-session-with-a-kaggle-grandmaster-vladimir-i-iglovikov-942ad6a06acd,No,,Interview
Why is it always HASH( salt + password ) that we recommend?,https://security.stackexchange.com/questions/4574/why-is-it-always-hash-salt-password-that-we-recommend,No,,Data Analysis
15 Best Tools for Tracking Machine Learning Experiments,https://neptune.ai/blog/best-ml-experiment-tracking-tools,No,,MLOps
Ask Me Anything session with a Kaggle Grandmaster Vladimir I. Iglovikov,https://towardsdatascience.com/ask-me-anything-session-with-a-kaggle-grandmaster-vladimir-i-iglovikov-942ad6a06acd,No,,Interview
Scalable Machine Learning (Part 2): Partial Fit,https://tomaugspurger.github.io/scalable-ml-02,No,,Machine Learning
guild ai,https://github.com/guildai/guildai,No,,MLOps
optuna vs hyperopt,https://neptune.ai/blog/optuna-vs-hyperopt,No,,MLOps
mediapipe - opencv 대항마,https://github.com/google/mediapipe,No,,Deeplearning
Statistical test Cheat Sheet,https://dacg.in/2018/11/17/statistical-test-cheat-sheet/,No,,"Math, Statistics"
Scrapy 관련 블로그 글,https://heodolf.tistory.com/5,No,,Development
How Not To Run an A/B Test,https://www.evanmiller.org/how-not-to-run-an-ab-test.html,No,,Statistics
MLOps Reference,https://github.com/visenger/mlops-references,No,,MLOps
setup vs requirement,https://jadehan.tistory.com/42,No,,Development
카카오 페이지 Airflow,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T03-S04.pdf,No,,Data Engineering
AI Platform용 AI Explanations 소개,https://cloud.google.com/ai-platform/prediction/docs/ai-explanations/overview,No,,MLOps
ML Engineering on Google Cloud Platform,https://github.com/GoogleCloudPlatform/mlops-on-gcp,No,,MLOps
PyQT5,https://wikidocs.net/book/2944,No,,Python
Slach slash command,https://jusths.tistory.com/136,No,,Development
